,id,text,predictions,prompt,output,questions,question
238,238,check with my bank to see why my account is frozen,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
239,239,do you know why my bank account is frozen,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
240,240,are there any problems with my bank account,account_blocked;freeze_account;improve_credit_score;report_fraud,,,,
241,241,did someone who is unauthorized try to get into my bank account,account_blocked;report_fraud,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: report fraud Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: report fraud Question: I understand you are having issues with your account. Was your account blocked or did you report fraud? **END** Set 4: Option 1: card expired Option 2: card cancelled Question: I understand you have an expired or cancelled card,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your account. Was your account blocked or did you report fraud? ; I understand you have an expired or cancelled card,I understand you are having issues with your account. Was your account blocked or did you report fraud?
242,242,how can i unfreeze my bank account,account_blocked;freeze_account;direct_deposit;transfer,,,,
243,243,why is there a stop on my deposit account,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
244,244,can you check and see why us bank put a hold on my account,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
245,245,reasons that us bank would place a hold on my account,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
246,246,check to see why us bank placed a hold on my account,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
247,247,there seems to be an issue with my account,account_blocked;freeze_account;report_fraud,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: account blocked Option 2: freeze account Option 3: report fraud Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: account blocked Option 2: freeze account Option 3: report fraud Question: I understand you are having issues with your account. Was your account blocked, frozen or reported for fraud? **END** Set 4: Option 1: account suspended Option 2: account","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are having issues with your account. Was your account blocked, frozen or reported for fraud?","I understand you are having issues with your account. Was your account blocked, frozen or reported for fraud?"
248,248,is there a reason you put a hold on my chase account,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
249,249,why can't i access my chase account,account_blocked;freeze_account,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: freeze account Question: I understand you have an account that is currently blocked. Was it frozen or blocked? **END** Set 4: Option 1: account suspended Option 2: suspend account Question: I understand your account is currently suspended. Was it suspended or,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have an account that is currently blocked. Was it frozen or blocked? ; I understand your account is currently suspended. Was it suspended or,I understand you have an account that is currently blocked. Was it frozen or blocked?
250,250,does using my card in portland charge me extra,credit_limit;international_fees,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit limit Option 2: international fees Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: credit limit Option 2: international fees Question: I understand you are having issues with your credit limit. Are you facing issues with international fees as well? **END** Set 4: Option 1: account frozen Option 2: account blocked Question: I understand you are having issues with your account. Is,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your credit limit. Are you facing issues with international fees as well? ; I understand you are having issues with your account. Is,I understand you are having issues with your credit limit. Are you facing issues with international fees as well?
251,251,"in x, what is the charge if i use my card",credit_limit;international_fees;min_payment,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: credit limit Option 2: international fees Option 3: min payment Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: credit limit Option 2: international fees Option 3: min payment Question: Option 1: I understand you have a credit limit issue. Is it too high or too low? **END** Option 2: I understand you have international fees issue. Are you being charged too much or too little","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Option 1: I understand you have a credit limit issue. Is it too high or too low?",Option 1: I understand you have a credit limit issue. Is it too high or too low?
252,252,are there meetings from 1 to 5 pm,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
253,253,is there any meetings from 5 to 6 pm,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
254,254,are there any meetings between 2 and 5 pm,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
255,255,is it possible i have a meeting with kim today,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
256,256,my meeting with alice is scheduled for when,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
257,257,check the start time of the meeting scheduled for today,schedule_meeting;meeting_schedule,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: schedule meeting Option 2: meeting schedule Question: I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? **END** Set 4: Option 1: cancel meeting Option 2: meeting cancelled Question: I understand you need to cancel a meeting. Was the meeting,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled? ; I understand you need to cancel a meeting. Was the meeting,I understand you need to schedule a meeting. Do you need to schedule a meeting or is it already scheduled?
258,258,what is needed to cook lasagna,recipe;ingredients_list,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: ingredients list Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: ingredients list Question: Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list? **END** Option 1: I","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list?","Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list?"
259,259,how much flour do i need for a strawberry cake,cook_time;ingredients_list;ingredient_substitution,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: cook time Option 2: ingredients list Option 3: ingredient substitution Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: cook time Option 2: ingredients list Option 3: ingredient substitution Question: Option 1: I need to know the cook time for the recipe. **END** Option 2: I need to know the ingredients list for the recipe. **END** Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Option 1: I need to know the cook time for the recipe.",Option 1: I need to know the cook time for the recipe.
260,260,tell me the ingredients to make an apple pie,recipe;ingredients_list,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: ingredients list Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: ingredients list Question: Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list? **END** Option 1: I","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list?","Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list?"
261,261,pull up everything i need to make a pasta dish,recipe;ingredients_list,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: ingredients list Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: ingredients list Question: Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list? **END** Option 1: I","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list?","Option 1: I'm sorry, I didn't catch that. Can you repeat the recipe? Option 2: I'm sorry, I didn't catch that. Can you repeat the ingredients list?"
262,262,i seem to have a purchase that i didn't make from olive garden on my account,report_lost_card;card_declined;transactions;report_fraud,,,,
263,263,my bill shows a purchase from payless shoes but i didn't buy anything,order;transactions;report_fraud;order_status;min_payment,,,,
264,264,this charge is bs,interest_rate;measurement_conversion;balance;exchange_rate;taxes;w2;calculator,,,,
265,265,i have a crap transaction from guitar center on my account,transactions;report_fraud,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: transactions Option 2: report fraud Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: transactions Option 2: report fraud Question: I understand you are having issues with your transactions. Are you looking to report fraud or check your transactions? **END** Set 4: Option 1: account Option 2: card Question: I understand you are having issues with your account or card. Which one,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your transactions. Are you looking to report fraud or check your transactions? ; I understand you are having issues with your account or card. Which one,I understand you are having issues with your transactions. Are you looking to report fraud or check your transactions?
266,266,i don't remember buying this,order;last_maintenance;shopping_list;bill_due;transactions;payday;order_status,,,,
267,267,i have a bs transaction from ebay on my account,transactions;report_fraud,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: transactions Option 2: report fraud Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: transactions Option 2: report fraud Question: I understand you are having issues with your transactions. Are you looking to report fraud or check your transactions? **END** Set 4: Option 1: account Option 2: card Question: I understand you are having issues with your account or card. Which one,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your transactions. Are you looking to report fraud or check your transactions? ; I understand you are having issues with your account or card. Which one,I understand you are having issues with your transactions. Are you looking to report fraud or check your transactions?
268,268,i think someone jacked my bank account,account_blocked;report_lost_card;freeze_account;improve_credit_score;card_declined;report_fraud,,,,
269,269,i saw suspicious activity on my bank account,account_blocked;report_fraud,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: report fraud Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: account blocked Option 2: report fraud Question: I understand you are having issues with your account. Was your account blocked or did you report fraud? **END** Set 4: Option 1: card expired Option 2: card cancelled Question: I understand you have an expired or cancelled card,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your account. Was your account blocked or did you report fraud? ; I understand you have an expired or cancelled card,I understand you are having issues with your account. Was your account blocked or did you report fraud?
